case,step,bank,stage,rms,sample_diversity_rms,batch_mean_rms,diversity_to_rms
cifar,8,evolving_prior,stage32_block1_attention_residual,0.9144863486289978,0.6906089186668396,0.59945358726645,0.7551877835051378
cifar,8,evolving_prior,stage32_block1_ffn,0.2204044610261917,0.15267175436019897,0.15896371240262705,0.6926890392751908
cifar,8,evolving_prior,stage32_block1,0.975001871585846,0.7179729342460632,0.6596540875989481,0.7363810831237444
cifar,8,evolving_prior,output_projection,1.8372912406921387,0.8880230188369751,1.6084322246024927,0.4833327450592111
cifar,16,fixed_latent,input_projection,0.5807581543922424,0.5717719197273254,0.10176888377305025,0.9845267180547452
cifar,16,fixed_latent,stage8_position,0.58113032579422,0.5717719197273254,0.10387168704235605,0.9838962008150158
cifar,16,fixed_latent,stage8_block0_attention,0.058126602321863174,0.04383133724331856,0.03817742491245978,0.7540667352378907
cifar,16,fixed_latent,stage8_block0_attention_residual,0.5839362144470215,0.573341429233551,0.1107298878674898,0.9818562628051704
cifar,16,fixed_latent,stage8_block0_ffn,0.25774243474006653,0.19388620555400848,0.16982138252177262,0.7522479010859927
cifar,16,fixed_latent,stage8_block0,0.6352372765541077,0.6009088158607483,0.20599755470566433,0.9459596249143679
cifar,16,fixed_latent,stage8_block1_attention,0.21301674842834473,0.05284374579787254,0.20635811988151698,0.24807319700332528
cifar,16,fixed_latent,stage8_block1_attention_residual,0.6945686340332031,0.6039826273918152,0.34297313771143856,0.8695794739313587
cifar,16,fixed_latent,stage8_block1_ffn,0.530001699924469,0.22725144028663635,0.47880954962330924,0.42877492717291693
cifar,16,fixed_latent,stage8_block1,0.9935965538024902,0.6566467881202698,0.745687003627875,0.6608786892499627
cifar,16,fixed_latent,stage16_upsample,0.9935965538024902,0.6566467881202698,0.745687003627875,0.6608786892499627
cifar,16,fixed_latent,stage16_position,0.9941734671592712,0.6566467881202698,0.7464555435220641,0.6604951850068554
cifar,16,fixed_latent,stage16_block0_attention,0.20420634746551514,0.02492448501288891,0.20267955593016523,0.12205538820039848
cifar,16,fixed_latent,stage16_block0_attention_residual,1.0747796297073364,0.6577300429344177,0.8500249661364825,0.6119673510313163
cifar,16,fixed_latent,stage16_block0_ffn,0.24459172785282135,0.12146435678005219,0.21230054961312939,0.4966004281761367
cifar,16,fixed_latent,stage16_block0,1.1989960670471191,0.6730754971504211,0.9922504441572063,0.561365892390346
cifar,16,fixed_latent,stage16_block1_attention,0.32810211181640625,0.024644332006573677,0.3271752629376728,0.0751117750207098
cifar,16,fixed_latent,stage16_block1_attention_residual,1.332365870475769,0.6739805936813354,1.1493254422267039,0.5058524903828905
cifar,16,fixed_latent,stage16_block1_ffn,0.31909802556037903,0.10748959332704544,0.3004488928968098,0.3368544607516116
cifar,16,fixed_latent,stage16_block1,1.5342299938201904,0.6896782517433167,1.3704764073160047,0.44952729025068583
